time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.3003;-0.00103327;3;-0.0903347;-0.082122;
30.3013;-7.67276e-05;3;-0.106237;-0.0819057;
30.3023;-0.00103105;3;-0.0903338;-0.0816881;
30.3033;-7.45208e-05;3;-0.106236;-0.0814694;
30.3043;-0.00102885;3;-0.0903328;-0.0812495;
30.3053;-7.23404e-05;3;-0.106235;-0.0810284;
30.3063;-0.00102668;3;-0.0903317;-0.0808061;
30.3073;-7.01876e-05;3;-0.106234;-0.0805827;
30.3083;-0.00102454;3;-0.0903303;-0.0803581;
30.3093;-6.80635e-05;3;-0.106232;-0.0801324;
30.3103;-0.00102243;3;-0.0903288;-0.0799056;
30.3113;-6.59691e-05;3;-0.10623;-0.0796777;
30.3123;-0.00102035;3;-0.090327;-0.0794487;
30.3133;-6.39053e-05;3;-0.106228;-0.0792186;
30.3143;-0.0010183;3;-0.0903251;-0.0789874;
30.3153;-6.1873e-05;3;-0.106226;-0.0787551;
30.3163;-0.00101628;3;-0.0903229;-0.0785218;
30.3173;-5.9873e-05;3;-0.106224;-0.0782874;
30.3183;-0.00101429;3;-0.0903204;-0.078052;
30.3193;-5.79059e-05;3;-0.106221;-0.0778155;
30.3203;-0.00101234;3;-0.0903177;-0.077578;
30.3213;-5.59723e-05;3;-0.106218;-0.0773395;
30.3223;-0.00101042;3;-0.0903146;-0.0770999;
30.3233;-5.40727e-05;3;-0.106215;-0.0768594;
30.3243;-0.00100854;3;-0.0903113;-0.0766178;
30.3253;-5.22075e-05;3;-0.106211;-0.0763752;
30.3263;-0.00100669;3;-0.0903076;-0.0761316;
30.3273;-5.03772e-05;3;-0.106207;-0.075887;
30.3283;-0.00100487;3;-0.0903035;-0.0756415;
30.3293;-4.85819e-05;3;-0.106203;-0.0753949;
30.3303;-0.00100309;3;-0.090299;-0.0751473;
30.3313;-4.68218e-05;3;-0.106198;-0.0748988;
30.3323;-0.00100135;3;-0.0902941;-0.0746493;
30.3333;-4.50971e-05;3;-0.106193;-0.0743988;
30.3343;-0.000999637;3;-0.0902887;-0.0741473;
30.3353;-4.34079e-05;3;-0.106187;-0.0738948;
30.3363;-0.000997963;3;-0.0902829;-0.0736413;
30.3373;-4.1754e-05;3;-0.106181;-0.0733868;
30.3383;-0.000996324;3;-0.0902765;-0.0731314;
30.3393;-4.01355e-05;3;-0.106174;-0.0728749;
30.3403;-0.00099472;3;-0.0902696;-0.0726174;
30.3413;-3.85522e-05;3;-0.106167;-0.0723589;
30.3423;-0.000993152;3;-0.090262;-0.0720995;
30.3433;-3.70039e-05;3;-0.106159;-0.0718389;
30.3443;-0.000991618;3;-0.0902539;-0.0715774;
30.3453;-3.54904e-05;3;-0.10615;-0.0713148;
30.3463;-0.000990119;3;-0.090245;-0.0710512;
30.3473;-3.40114e-05;3;-0.106141;-0.0707864;
30.3483;-0.000988654;3;-0.0902354;-0.0705207;
30.3493;-3.25665e-05;3;-0.106131;-0.0702538;
30.3503;-0.000987223;3;-0.0902251;-0.0699858;
30.3513;-3.11554e-05;3;-0.10612;-0.0697168;
30.3523;-0.000985826;3;-0.0902139;-0.0694466;
30.3533;-2.97776e-05;3;-0.106109;-0.0691752;
30.3543;-0.000984461;3;-0.0902019;-0.0689027;
30.3553;-2.84327e-05;3;-0.106096;-0.0686289;
30.3563;-0.000983129;3;-0.0901889;-0.068354;
30.3573;-2.71201e-05;3;-0.106083;-0.0680778;
30.3583;-0.00098183;3;-0.090175;-0.0678004;
30.3593;-2.58394e-05;3;-0.106068;-0.0675216;
30.3603;-0.000980561;3;-0.09016;-0.0672416;
30.3613;-2.45901e-05;3;-0.106052;-0.0669602;
30.3623;-0.000979324;3;-0.090144;-0.0666774;
30.3633;-2.33715e-05;3;-0.106036;-0.0663932;
30.3643;-0.000978117;3;-0.0901267;-0.0661076;
30.3653;-2.2183e-05;3;-0.106018;-0.0658204;
30.3663;-0.000976939;3;-0.0901083;-0.0655318;
